timestamp,lap time,stroke count,stroke type,data source
2025-08-06T19:08:14Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:24:38Z,00:00:11.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:24:54Z,00:00:18.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:25:33Z,00:00:16.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:25:55Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:26:14Z,00:00:56.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:27:18Z,00:00:46.000,26,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:28:09Z,00:00:27.000,16,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:28:41Z,00:00:40.000,21,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:29:41Z,00:00:09.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:29:55Z,00:00:29.000,15,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:30:39Z,00:00:14.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:30:58Z,00:00:28.000,16,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:31:33Z,00:00:56.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:32:52Z,00:00:55.000,26,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:33:50Z,00:00:20.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:34:40Z,00:00:14.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:36:09Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:37:53Z,00:00:21.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:38:18Z,00:00:50.000,22,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:39:09Z,00:00:35.000,20,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:40:12Z,00:00:22.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:40:48Z,00:00:25.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:41:35Z,00:00:12.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:41:56Z,00:00:18.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:42:31Z,00:00:22.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:43:34Z,00:00:12.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:43:53Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T08:44:17Z,00:00:57.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T15:08:04Z,00:00:15.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T16:09:07Z,00:00:07.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T16:10:13Z,00:00:08.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T16:51:05Z,00:00:17.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-07T16:51:50Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T10:12:44Z,00:00:28.000,13,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T10:13:39Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T10:13:58Z,00:00:08.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T10:14:17Z,00:00:20.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T10:14:44Z,00:00:24.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T10:15:16Z,00:00:07.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T10:15:32Z,00:00:12.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T10:15:57Z,00:00:18.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T10:16:36Z,00:00:57.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T10:17:39Z,00:00:19.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T10:18:01Z,00:00:19.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T10:18:25Z,00:00:19.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T10:18:50Z,00:00:12.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T10:21:10Z,00:00:25.000,15,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T10:21:40Z,00:00:57.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T11:42:08Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T14:28:48Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T14:29:16Z,00:00:42.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T14:30:02Z,00:00:21.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T14:30:31Z,00:00:56.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T14:35:16Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T14:35:49Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T14:36:15Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T14:36:26Z,00:00:16.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T14:36:48Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T14:38:43Z,00:00:33.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T14:39:21Z,00:00:24.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T14:39:53Z,00:00:20.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T14:40:22Z,00:00:13.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T14:40:42Z,00:00:17.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T14:41:08Z,00:00:38.000,18,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T14:57:38Z,00:00:17.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T15:39:26Z,00:00:24.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T15:39:55Z,00:00:40.000,15,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T15:40:44Z,00:00:40.000,16,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T15:41:46Z,00:00:18.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T15:42:11Z,00:00:54.000,19,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T15:43:22Z,00:00:29.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T15:44:30Z,00:00:18.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-08T15:48:03Z,00:00:31.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
