timestamp,steps,distance millimeters,altitude gain millimeters,data source
2025-01-07T09:34:05Z,0,0,0,Charge 6
2025-01-07T09:34:06Z,0,0,0,Charge 6
2025-01-07T09:34:07Z,0,0,0,Charge 6
2025-01-07T09:34:08Z,0,0,0,Charge 6
2025-01-07T09:34:09Z,0,0,0,Charge 6
2025-01-07T09:34:10Z,0,0,0,Charge 6
2025-01-07T09:34:11Z,0,0,0,Charge 6
2025-01-07T09:34:12Z,0,0,0,Charge 6
2025-01-07T09:34:13Z,0,0,0,Charge 6
2025-01-07T09:34:14Z,0,0,0,Charge 6
2025-01-07T09:34:15Z,0,0,0,Charge 6
2025-01-07T09:34:16Z,0,0,0,Charge 6
2025-01-07T09:34:17Z,0,0,0,Charge 6
2025-01-07T09:34:18Z,0,0,0,Charge 6
2025-01-07T09:34:19Z,0,0,0,Charge 6
2025-01-07T09:34:20Z,0,0,0,Charge 6
2025-01-07T09:34:21Z,0,0,0,Charge 6
2025-01-07T09:34:22Z,0,0,0,Charge 6
2025-01-07T09:34:23Z,0,0,0,Charge 6
2025-01-07T09:34:24Z,0,0,0,Charge 6
2025-01-07T09:34:25Z,0,0,0,Charge 6
2025-01-07T09:34:26Z,0,0,0,Charge 6
2025-01-07T09:34:27Z,0,0,0,Charge 6
2025-01-07T09:34:28Z,0,0,0,Charge 6
2025-01-07T09:34:29Z,0,0,0,Charge 6
2025-01-07T09:34:30Z,2,0,0,Charge 6
2025-01-07T09:34:31Z,2,0,0,Charge 6
2025-01-07T09:34:32Z,3,0,0,Charge 6
2025-01-07T09:34:33Z,2,0,0,Charge 6
