timestamp,temperature celsius,data source
2026-02-28T08:49:00Z,27.8,Charge 6
2026-02-28T08:50:00Z,28.3,Charge 6
2026-02-28T08:51:00Z,28.4,Charge 6
2026-02-28T08:52:00Z,28.6,Charge 6
2026-02-28T08:53:00Z,28.7,Charge 6
2026-02-28T08:54:00Z,29.0,Charge 6
2026-02-28T08:55:00Z,29.3,Charge 6
2026-02-28T08:56:00Z,29.6,Charge 6
2026-02-28T08:57:00Z,29.9,Charge 6
2026-02-28T08:58:00Z,29.9,Charge 6
2026-02-28T08:59:00Z,29.7,Charge 6
2026-02-28T09:00:00Z,28.3,Charge 6
2026-02-28T09:01:00Z,27.5,Charge 6
2026-02-28T09:02:00Z,27.4,Charge 6
2026-02-28T09:03:00Z,27.3,Charge 6
2026-02-28T09:04:00Z,27.4,Charge 6
2026-02-28T09:05:00Z,27.0,Charge 6
2026-02-28T09:06:00Z,26.8,Charge 6
2026-02-28T09:07:00Z,26.6,Charge 6
2026-02-28T09:08:00Z,26.3,Charge 6
2026-02-28T09:09:00Z,26.0,Charge 6
2026-02-28T09:10:00Z,26.1,Charge 6
2026-02-28T09:11:00Z,26.5,Charge 6
2026-02-28T09:12:00Z,27.0,Charge 6
2026-02-28T09:13:00Z,27.5,Charge 6
2026-02-28T09:14:00Z,27.9,Charge 6
2026-02-28T09:15:00Z,28.3,Charge 6
